design_id,title,slug,teepublic_url,image_url,description,tags,artist,collection,product_types,niche,secondary_niche,recipient,occasion,style,theme,primary_keyword,secondary_keyword,long_tail_keyword,seo_title,h1,meta_description,image_alt,canonical_url,breadcrumbs,content_cluster,pillar_page,jsonld_type,scrape_timestamp
94037075,Generative FFT Bigfoot - Fourier Transform Math Art (Cyan Teal Edition) T-Shirt,generative-fft-bigfoot-fourier-transform-math-art-,https://www.teepublic.com/t-shirt/94037075-generative-fft-bigfoot-fourier-transform-math-art-,"https://images.teepublic.com/derived/production/designs/94037075_0/1781355172/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","Authentic algorithmic art. This Bigfoot silhouette was drawn by a custom-coded software application using real Fast Fourier Transform (FFT) mathematics and epicyclic plotting. This clean, technical blueprint-style design is the Cyan Teal edition, part of our exclusive 8-color generative math cryptid series. An ideal gift for computer scientists, mathematicians, creative coders, and engineers.","fourier transform, coding, computer science, fourier, generative art, math nerd, physics",The Black Panther,View More By This Artist,T-Shirt,science,professions,,Everyday,,Generative math art featuring a Bigfoot silhouette created with Fourier Transforms.,Bigfoot Fourier Transform,Generative Math Art,FFT algorithmic art Bigfoot t-shirt,Generative FFT Bigfoot Math Art T-Shirt,Generative FFT Bigfoot - Fourier Transform Math Art (Cyan Teal Edition),"Unique algorithmic art Bigfoot t-shirt using Fast Fourier Transform (FFT) math. Cyan Teal edition, perfect for coders, mathematicians, and cryptozoology fans.","Generative FFT Bigfoot silhouette in cyan and teal, representing Fourier Transform math art.",/designs/generative-fft-bigfoot-fourier-transform-math-art-cyan-teal-edition-t-shirt,,,,Product,2026-08-01T18:13:10.228106
94082830,Leaving No Footprints - Only Frequency Signatures T-Shirt,leaving-no-footprints-only-frequency-signatures,https://www.teepublic.com/t-shirt/94082830-leaving-no-footprints-only-frequency-signatures,"https://images.teepublic.com/derived/production/designs/94082830_0/1781446053/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","In the mathematical universe, Bigfoot leaves no physical tracks, only a distinct frequency signature. Plotted on a custom-designed application using Fourier Transform epicycles, this royal blue and purple wireframe design is made for electrical engineers, RF specialists, and signal processing professionals.","electrical engineer, engineering, fourier transform, geek, math humor, math teacher, mathematics, physics, sasquatch, stem, wireframe",The Black Panther,View More By This Artist,T-Shirt,Engineer,Math,,Everyday,Minimalist,Bigfoot's mathematical frequency signature,Fourier Transform Shirt,Electrical Engineer Gift,Bigfoot frequency signature math t-shirt,Bigfoot Frequency Signature Math T-Shirt - Engineer Gift,Leaving No Footprints - Only Frequency Signatures T-Shirt,Unique t-shirt for electrical engineers and math lovers. Features Bigfoot's frequency signature plotted with Fourier Transform epicycles. Perfect STEM gift!,Wireframe design of Bigfoot's frequency signature plotted with Fourier Transform epicycles on a royal blue and purple background.,/designs/leaving-no-footprints-frequency-signatures-tshirt,,,,Product,2026-08-01T18:13:19.427319
94084061,Fourier Transform Bigfoot - Mathematical Wireframe Art T-Shirt,fourier-transform-bigfoot-mathematical-wireframe-a,https://www.teepublic.com/t-shirt/94084061-fourier-transform-bigfoot-mathematical-wireframe-a,"https://images.teepublic.com/derived/production/designs/94084061_0/1781447528/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","A clean, textless graphic featuring Bigfoot plotted entirely with Fourier Transform epicycles on a custom-designed mathematical application. This striking blue-to-magenta wireframe combines precise scientific calculations with a neon, retro-futuristic synthwave aesthetic. Perfect for engineers, mathematicians, and fans of geometric vector design.","fourier transform, engineering, geometric art, math teacher, physics, programmer, sasquatch, stem, synthwave, wireframe",The Black Panther,View More By This Artist,T-Shirt,science,professions,,Everyday,,Fourier Transform Bigfoot Math Art,Fourier Transform Bigfoot,Math Wireframe Art,Fourier Transform Bigfoot synthwave wireframe t-shirt,Fourier Transform Bigfoot Math Wireframe Synthwave Art,Fourier Transform Bigfoot - Mathematical Wireframe Art,Unique Bigfoot design using Fourier Transform epicycles. Features a blue-to-magenta wireframe with a retro-futuristic synthwave aesthetic. Perfect for math and engineering fans.,"Bigfoot plotted with Fourier Transform epicycles in a blue-to-magenta wireframe, synthwave style.",/designs/fourier-transform-bigfoot-math-wireframe-art-t-shirt,,,,Product,2026-08-01T18:14:33.606455
94199890,Fourier Transform Tyrannosaurus Rex - Math Dinosaur T-Shirt,fourier-transform-tyrannosaurus-rex-math-dinosaur,https://www.teepublic.com/t-shirt/94199890-fourier-transform-tyrannosaurus-rex-math-dinosaur,"https://images.teepublic.com/derived/production/designs/94199890_0/1781617598/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_15_0_x626,s_630,q_90.jpg","This design was created using a custom-coded application programmed to trace the Tyrannosaurus Rex outline using Fourier transform math. Rather than a standard text-to-image AI generation, this piece features authentic mathematical plotting, with the body details filled in using the actual FFT equations from the process.","tyrannosaurus rex, dinosaur, fourier transform, geek, green, math, mathematics, neon, nerd, paleontology, physics, science, stem",The Black Panther,View More By This Artist,T-Shirt,animals,science,,Everyday,,A Tyrannosaurus Rex dinosaur outline created using Fourier Transform mathematics.,Fourier Transform Dinosaur,Math Dinosaur T-Shirt,Tyrannosaurus Rex math art science t-shirt,Fourier Transform T-Rex Math Dinosaur T-Shirt,Fourier Transform Tyrannosaurus Rex Math Dinosaur T-Shirt,"Unique T-Rex design using Fourier Transform math plotting. Perfect for science, math, and dinosaur lovers. Authentic mathematical art, not AI generated.",Fourier Transform Tyrannosaurus Rex outline with mathematical details,/designs/fourier-transform-t-rex-math-dinosaur,,,,Product,2026-08-01T18:14:40.985130
94083586,Just A Sine Wave - Walking In The Woods Bigfoot T-Shirt,just-a-sine-wave-walking-in-the-woods-bigfoot,https://www.teepublic.com/t-shirt/94083586-just-a-sine-wave-walking-in-the-woods-bigfoot,"https://images.teepublic.com/derived/production/designs/94083586_0/1781446969/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","A literal description of how this mathematical cryptid was created! Plotted using Fourier Transform epicycles on a custom-designed application, this green-to-purple gradient Bigfoot is mathematically composed of individual sine waves plotted in 2D space. Perfect for math teachers, sound engineers, physicists, and trigonometry students.","trigonometry, engineering, fourier transform, geek, geometry, math humor, math pun, math teacher, mathematics, physics, sasquatch, stem, wireframe",The Black Panther,View More By This Artist,T-Shirt,Math,Engineer,Husband,Everyday,Funny Text,Geek,math teacher t-shirt,fourier transform shirt,bigfoot mathematical sine wave t-shirt,Sine Wave Bigfoot Math Teacher T-Shirt,Just A Sine Wave Bigfoot Math T-Shirt,"Discover the ultimate math teacher t-shirt featuring a Fourier transform Bigfoot made of sine waves. Perfect for STEM lovers, physicists, and engineers.",Green to purple gradient Bigfoot made of sine waves on a black t-shirt,/designs/sine-wave-bigfoot-math-t-shirt,,,,Product,2026-08-01T18:26:50.141564
94199664,Fourier Transform Ankylosaurus - Math Dinosaur T-Shirt,fourier-transform-ankylosaurus-math-dinosaur,https://www.teepublic.com/t-shirt/94199664-fourier-transform-ankylosaurus-math-dinosaur,"https://images.teepublic.com/derived/production/designs/94199664_0/1781617281/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","This design was created using a custom-coded application programmed to trace the Ankylosaurus outline using Fourier transform math. Rather than a standard text-to-image AI generation, this piece features authentic mathematical plotting, with the body details filled in using the actual FFT equations from the process.","ankylosaurus, dinosaur, fourier transform, geek, green, math, mathematics, neon, nerd, paleontology, physics, science, stem",The Black Panther,View More By This Artist,T-Shirt,science,animals,,Everyday,,Math-based Ankylosaurus Dinosaur,Fourier Transform Dinosaur,Math Science Shirt,Ankylosaurus Fourier Transform Math Art T-Shirt,Fourier Transform Ankylosaurus Math Dinosaur T-Shirt,Fourier Transform Ankylosaurus Math Dinosaur T-Shirt,"Unique Ankylosaurus dinosaur design created with authentic Fourier Transform math equations. Perfect for science, math, and paleontology enthusiasts.","Ankylosaurus dinosaur outline created using Fourier Transform math equations, in neon green.",/designs/fourier-transform-ankylosaurus-math-dinosaur-tshirt,,,,Product,2026-08-01T18:27:00.370436
94197978,Fourier Transform Pteranodon - Math Dinosaur T-Shirt,fourier-transform-pteranodon-math-dinosaur,https://www.teepublic.com/t-shirt/94197978-fourier-transform-pteranodon-math-dinosaur,"https://images.teepublic.com/derived/production/designs/94197978_0/1781615099/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_76_0_x626,s_630,q_90.jpg","This design was created using a custom-coded application programmed to trace the Pteranodon outline using Fourier transform math. Rather than a standard text-to-image AI generation, this piece features authentic mathematical plotting, with the body details filled in using the actual FFT equations from the process.","pteranodon, dinosaur, fourier transform, geek, green, math, mathematics, neon, nerd, paleontology, physics, science, stem",The Black Panther,View More By This Artist,T-Shirt,science,animals,,Everyday,,Math-generated Pteranodon dinosaur design,Fourier Transform Dinosaur,Math Pteranodon,Fourier Transform Math Dinosaur T-Shirt,Fourier Transform Pteranodon Math Dinosaur T-Shirt,Fourier Transform Pteranodon Dinosaur T-Shirt,"Unique Pteranodon dinosaur t-shirt featuring a design created with Fourier Transform math equations. Perfect for science, math, and dinosaur lovers.","Pteranodon dinosaur outline created using Fourier Transform math equations, with neon green details.",/designs/fourier-transform-pteranodon-math-dinosaur-tshirt,,,,Product,2026-08-01T18:27:24.501689
94084722,An Unresolved Mystery - Until You Do The Math T-Shirt,an-unresolved-mystery-until-you-do-the-math,https://www.teepublic.com/t-shirt/94084722-an-unresolved-mystery-until-you-do-the-math,"https://images.teepublic.com/derived/production/designs/94084722_0/1781448432/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","The legendary cryptid remains an unsolved mystery—until you run the calculations. Plotted on a custom-designed mathematical application using Fourier Transform epicycles, this blue-to-pink gradient Bigfoot proves that math is the key to decoding legends. A fun design for physicists, math teachers, and data analysts.","cryptid, data science, engineering, fourier transform, geek, math humor, math joke, math teacher, physics, sasquatch, stem, wireframe",The Black Panther,View More By This Artist,T-Shirt,Math,Physics,,Everyday,,Bigfoot cryptid decoded with math and Fourier Transform,Bigfoot Math Shirt,Fourier Transform Cryptid,Bigfoot math equation Fourier Transform shirt,Bigfoot Math Shirt: Fourier Transform Cryptid Mystery,Bigfoot Math Shirt: Unresolved Mystery Solved by Math,Solve the Bigfoot mystery with this unique shirt! Features a Bigfoot design using Fourier Transform epicycles. Perfect for math and science lovers.,Bigfoot cryptid design using Fourier Transform epicycles and math equations,/designs/bigfoot-math-shirt-fourier-transform,,,,Product,2026-08-01T18:27:48.786003
94032207,Bigfoot Drawn with Math: Fourier Transform Aurora Gradient T-Shirt,bigfoot-drawn-with-math-fourier-transform-aurora-g,https://www.teepublic.com/t-shirt/94032207-bigfoot-drawn-with-math-fourier-transform-aurora-g,"https://images.teepublic.com/derived/production/designs/94032207_0/1781346495/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_40_0_x626,s_630,q_90.jpg","A beautiful green, blue, and purple gradient neon Bigfoot design that is 100% drawn and traced using mathematical equations, specifically Fourier Transform math formulas that plot the lines to create the artwork. The colorful glowing nodes and epicycles visualize the complex mathematics used to draw Sasquatch. Perfect for math teachers, physics students, programmers, and anyone who loves geeky, science-themed apparel with a northern lights or aurora gradient aesthetic.","bigfoot, aurora, cryptid, engineering, fourier transform, gradient, math, math teacher, mathematics, neon, physics, sasquatch, science, stem",The Black Panther,View More By This Artist,T-Shirt,Science,Professions,,Everyday,,Bigfoot drawn with mathematical Fourier Transforms and an aurora gradient.,Fourier Transform Bigfoot,Math Art,Bigfoot drawn with Fourier Transform math equations,Bigfoot Fourier Transform Aurora Gradient T-Shirt,Bigfoot Drawn with Math: Fourier Transform Aurora Gradient,"Unique Bigfoot t-shirt featuring an aurora gradient, drawn entirely with Fourier Transform math equations. Perfect for science and math lovers.","Bigfoot silhouette with an aurora gradient fill, created using Fourier Transform math.",/designs/bigfoot-fourier-transform-aurora-gradient-tshirt,,,,Product,2026-08-01T18:28:01.509399
94197406,Fourier Transform Parasaurolophus - Math Dinosaur T-Shirt,fourier-transform-parasaurolophus-math-dinosaur,https://www.teepublic.com/t-shirt/94197406-fourier-transform-parasaurolophus-math-dinosaur,"https://images.teepublic.com/derived/production/designs/94197406_0/1781613985/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_35_0_x626,s_630,q_90.jpg","This design was created using a custom-coded application programmed to trace the Parasaurolophus outline using Fourier transform math. Rather than a standard text-to-image AI generation, this piece features authentic mathematical plotting, with the body details filled in using the actual FFT equations from the process.","parasaurolophus, dinosaur, fourier transform, geek, green, math, mathematics, neon, nerd, paleontology, physics, science, stem",The Black Panther,View More By This Artist,T-Shirt,science,animals,,Everyday,,Math-generated dinosaur art,Fourier Transform Dinosaur,Math Dinosaur,Fourier Transform Parasaurolophus Math Art,Fourier Transform Dinosaur Math T-Shirt,Fourier Transform Parasaurolophus Math Dinosaur Shirt,"Unique Parasaurolophus dinosaur design created with Fourier Transform math. Perfect for science, math, and dinosaur lovers.","Parasaurolophus dinosaur outline created using Fourier Transform math, with neon green details.",/designs/fourier-transform-parasaurolophus-math-dinosaur-shirt,,,,Product,2026-08-01T18:28:24.888884
